id;ID_GIORNATA;filename;original_name;mime_type;size;uploader_id;visible;uploaded_at
4;GIO20250911160507760;868d7799d3aa7031_1757600019.png;"Fattura 0409.png";image/png;40635;;1;"2025-09-11 16:13:39"
6;GIO20250911161808465;dca55e6a809a0b78_1757600288.png;"logo BC.png";image/png;17435;CONS003;1;"2025-09-11 16:18:08"
