ID_COMMESSA;Commessa;Desc_Commessa;Tipo_Commessa;ID_CLIENTE;Commissione;ID_COLLABORATORE;Data_Apertura_Commessa;Stato_Commessa;Documento_Offerta;Documento_Ordine;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
COM0001;"CALVI SVIL MANAGERIALITA'";"Sviluppo Manageriale";Cliente;CLI0003;0,2700;CONS001;2024-12-01;Sospesa;;;;;"2026-01-16 18:48:11";CONS001
COM0002;"IK SVILUPPO";"Analisi Organizzativa e progetti";Cliente;CLI0005;0,2700;CONS001;2024-12-01;Chiusa;;;;;"2025-09-09 14:42:03";SYSTEM
COM0003;MANTUA;"Supporto Sviluppo";Cliente;CLI0006;0,2700;CONS001;2024-12-01;Sospesa;;;;;"2026-01-16 18:54:00";CONS001
COM0004;ITALPIZZA;"Sviluppo Manageriale";Cliente;CLI0007;0,2700;CONS001;2024-12-01;Sospesa;;;;;"2026-01-16 18:48:31";CONS001
COM0005;"PERFETTI SVILUPPO";"Sviluppo Organizzativo e Formazione";Cliente;CLI0016;0,2700;CONS001;2024-12-01;Chiusa;;;;;"2026-01-16 18:54:30";CONS001
COM0006;"LAVAZZA ENG";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2024-12-01;Chiusa;;;;;"2026-01-16 18:49:28";CONS001
COM0007;"LAVAZZA SETTIMO";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2025-03-01;Chiusa;;;;;"2025-09-09 14:42:43";SYSTEM
COM0008;"LAVAZZA HSE";"Supporto Sviluppo";Cliente;CLI0013;0,2700;CONS001;2025-07-01;Chiusa;;;;;"2026-01-16 18:51:49";CONS001
COM0009;"LACTALIS LTF 2025";"Formazione LTF";Cliente;CLI0009;0,2700;CONS001;2024-12-01;Chiusa;;;;;"2026-01-16 18:48:56";CONS001
COM0010;"LACTALIS GALBANI COACHING (Melzo)";Coaching;Cliente;CLI0011;0,2700;CONS001;2025-01-01;"In corso";;;;;"2025-10-24 17:35:38";SYSTEM
COM0011;"LACTALIS AMBROSI COACHING";Coaching;Cliente;CLI0009;0,2700;CONS001;2025-05-01;"In corso";;;;;"2025-09-09 14:43:04";SYSTEM
COM0012;"LACTALIS STAB AUDIT CORTE - CASTELLI";"Formazione Capi";Cliente;CLI0012;0,2700;CONS001;2025-05-31;Chiusa;;;;;"2026-01-08 15:06:29";CONS001
COM0013;"LACTALIS STAB CORTEOLONA SVILUPPO 2025";"Formazione Capi";Cliente;CLI0012;0,2700;CONS001;2025-06-01;"In corso";;;;;"2026-01-08 15:07:44";CONS001
COM0014;"LINDT AUDIT";"AUDIT organizzativo";Cliente;CLI0014;0,2700;CONS001;2025-04-01;Chiusa;;;;;"2025-11-03 19:13:15";CONS001
COM0015;"SAMMONTANA FRANCIA";"Assessment Man Prog. Ceres";Cliente;CLI0017;0,2700;CONS003;2025-07-01;Chiusa;;;;;"2025-09-09 13:24:34";SYSTEM
COM0016;"Attivita' di Promozione VP";promo;Interna;;0,2700;;2024-12-01;"In corso";;;;;"2025-09-09 14:43:27";SYSTEM
COM2025001;Sviluppo;;Interna;;0,2700;;2025-08-24;"In corso";;;;SYSTEM;"2025-09-09 14:43:32";SYSTEM
COM2025004;"IWT Coaching";;Cliente;CLI0008;0,2700;CONS001;2025-08-26;"In corso";;;;SYSTEM;"2025-09-09 14:43:39";
COM2025005;"Abitiamo Fondazione";;Cliente;CLI0020;0,0000;CONS001;2025-09-22;Sospesa;;;"2025-09-22 10:55:19";SYSTEM;"2026-01-16 18:47:52";CONS001
COM2025006;"PERFETTI FORMAZIONE CAPITURNO 2025";"2 gg di formazione in aula. 6 gg SFC.";Cliente;CLI0016;0,2700;CONS001;2025-10-31;Chiusa;;;"2025-10-17 17:53:55";SYSTEM;"2026-02-12 22:04:24";CONS001
COM2025007;"LACTALIS STAB CASTELLI RE SVILUPPO 2025";"attività successiva al audit e workshop Prima Linea";Cliente;CLI0009;0,2700;CONS001;2025-09-01;"In corso";;;"2025-11-01 17:13:38";SYSTEM;"2026-01-08 15:07:17";CONS001
COM2025008;"LINDT WORKSHOP RUOLO CR";"Workshop con Troni per definizione ruolo";Cliente;CLI0014;0,2700;CONS001;2025-06-01;Chiusa;;;"2025-11-02 11:11:04";SYSTEM;"2025-11-03 19:15:17";CONS001
COM2025009;"LINDT SVILUPPO CR 2025";"Formazione coaching Vaglio";Cliente;CLI0014;0,2700;CONS001;2025-09-01;"In corso";;;"2025-11-02 11:11:59";SYSTEM;"2026-02-02 17:24:01";CONS001
COM2025010;"LINDT SVILUPPO CAPITURNO 2025";"Formazione e SFC Colombo";Cliente;CLI0014;0,2700;CONS001;2025-10-01;Chiusa;;;"2025-11-02 11:12:55";SYSTEM;"2026-02-02 17:30:38";CONS001
COM2025011;"LACTALIS STAB CERTOSA";;Cliente;CLI0012;0,2700;CONS001;2025-11-12;"In corso";;;"2025-11-09 20:40:54";CONS008;"2026-01-08 15:07:31";CONS001
COM2025012;"LAVAZZA DIREZIONE OPERATIONS";;Cliente;CLI0013;0,2700;CONS001;2025-11-24;"In corso";;;"2025-11-24 19:31:37";CONS008;"2025-11-24 19:31:37";
COM2025013;"LACTALIS STAB CASALE CREMASCO";;Cliente;CLI0009;0,2700;CONS001;2025-12-12;"In corso";;;"2025-12-12 18:50:46";CONS008;"2026-01-08 15:07:01";CONS001
COM2025014;"LACTALIS LTF 2026";;Cliente;CLI0009;0,2700;CONS001;2026-01-01;"In corso";;;"2026-01-30 18:32:37";CONS008;"2026-03-10 14:51:00";CONS001
COM2025015;"LINDT SVILUPPO CapiTurno 2026";"Attività 2026 di SFC con seconda giornata d'aula";Cliente;CLI0014;0,2700;CONS001;2026-01-29;"In corso";;;"2026-02-02 17:19:24";CONS001;"2026-02-11 15:32:16";CONS001
COM2025016;"PERFETTI FORMAZIONE CAPITURNO 2026";"FORMAZIONE CAPITURNO PRIMA TRANCHE 2025";Cliente;CLI0016;0,2700;CONS001;2025-10-01;"In corso";;;"2026-02-12 21:58:08";CONS001;"2026-02-12 22:00:32";CONS001
