ID_TASK;Task;Desc_Task;ID_COMMESSA;ID_COLLABORATORE;Tipo;Data_Apertura_Task;Stato_Task;gg_previste;Spese_Comprese;Valore_Spese_std;Valore_gg;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
TAS00001;"CALVI VAGLIO";"Consulenza Vaglio";COM0001;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;;
TAS00002;"CALVI ALTRI";Formazione;COM0001;;Campo;2024-12-01;"In corso";;Si;;1450,00;;;;
TAS00003;"CALVI COORDINAMENTO";Coordinamento;COM0001;CONS001;Monitoraggio;2024-12-01;"In corso";;Si;;0,10;;;;
TAS00004;"IK VAGLIO";"Consulenza Vaglio";COM0002;;Campo;2024-12-01;Chiuso;;No;;1550,00;;;;
TAS00005;"IK TRONI";"Consulenza Troni";COM0002;;Campo;2024-12-01;Chiuso;;No;90,00;1450,00;;;;
TAS00006;"ITALPIZZA MODENA";Consulenza;COM0004;;Campo;2024-12-01;"In corso";;No;;1550,00;;;;
TAS00007;"ITALPIZZA MANTUA";Consulenza;COM0003;;Campo;2024-12-01;"In corso";;No;;1550,00;;;;
TAS00008;"AMBROSI COACHING";Coaching;COM0011;;Campo;2025-05-01;"In corso";7,00;No;;1550,00;;;;
TAS00009;"GALBANI COACHING";Coaching;COM0010;;Campo;2025-01-01;"In corso";;Si;;1550,00;;;;
TAS00010;"LACTALIS LTF - AULA";Formazione;COM0009;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;"2025-08-28 07:44:23";SYSTEM
TAS00011;"LACTALIS LTF - FOLLOW UP";Coaching;COM0009;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;"2025-08-28 07:45:01";SYSTEM
TAS00012;"NUOVA CASTELLI 1. AUDIT";"Ingaggio e Audit";COM0012;;Campo;2025-06-01;Chiuso;4,00;No;;1550,00;;;"2025-09-02 12:03:24";SYSTEM
TAS00013;"NUOVA CASTELLI 2. PRIMA LINEA";"Formazione Prima Linea";COM0012;;Campo;2025-06-01;"In corso";2,00;No;;1550,00;;;"2025-09-02 12:03:43";SYSTEM
TAS00014;"NUOVA CASTELLI 3 CAPITURNO";"Formazione CT";COM0012;;Campo;2025-06-01;"In corso";2,00;No;;1550,00;;;"2025-09-02 12:03:59";SYSTEM
TAS00015;"NUOVA CASTELLI - MONITORAGGIO";"10% dell'impegno";COM0012;CONS001;Monitoraggio;2025-06-01;"In corso";;Si;;0,10;;;;
TAS00016;"CORTEOLONA 1. AUDIT";"Ingaggio e Audit";COM0013;;Campo;2025-06-01;"In corso";6,00;No;;1550,00;;;"2025-09-02 12:02:47";SYSTEM
TAS00017;"CORTEOLONA - MONITORAGGIO";"10% dell'impegno";COM0013;CONS001;Monitoraggio;2025-06-01;"In corso";;Si;;0,10;;;;
TAS00018;"NUOVA CASTELLI Affiancamento Interno";Affiancamento;COM0012;;Formazione;2025-06-01;"In corso";2,00;Si;;;;;"2025-09-02 13:04:00";SYSTEM
TAS00019;"LAVAZZA ENG COACHING";Coaching;COM0006;;Campo;2024-12-01;"In corso";8,00;Si;;1650,00;;;;
TAS00020;"LAVAZZA ENG HOSHIN";Hoshin;COM0006;;Campo;2024-12-01;"In corso";5,00;Si;;1650,00;;;;
TAS00021;"LAVAZZA HSE - AUDIT";Coaching;COM0008;;Campo;2025-07-01;"In corso";;Si;;1650,00;;;"2025-08-28 07:45:31";SYSTEM
TAS00022;"LAVAZZA SETTIMO FORMAZIONE";Formazione;COM0007;;Campo;2025-03-01;Chiuso;7,00;No;;1650,00;;;;
TAS00023;"LINDT FASE1";"Ingaggio ed Audit";COM0014;;Campo;2025-04-01;Chiuso;;No;;1600,00;;;;
TAS00024;"LINDT WORKSHOP";"Workshop finanziato";COM0014;;Campo;2025-04-01;"In corso";;No;;1600,00;;;;
TAS00025;"LINDT COORDINAMENTO";Monitoraggio;COM0014;CONS001;Monitoraggio;2025-04-01;"In corso";;Si;;0,10;;;;
TAS00026;"PERFETTI AUDIT";Consulenza;COM0005;;Campo;2024-12-01;Chiuso;;Si;;1550,00;;;;
TAS00027;"PERFETTI WORKSHOP";Consulenza;COM0005;;Campo;2024-12-01;"In corso";;Si;;1550,00;;;;
TAS00028;"SAMMONTANA FRANCIA ASSESSMENT";"Assessment Manutenzione stab. Francia";COM0015;;Campo;2025-07-01;Chiuso;8,00;No;;1600,00;;;;
TAS00029;PROMOZIONE;"Attivita' promozionale";COM0016;;Promo;2024-12-01;"In corso";;Si;;0,00;;;"2025-09-02 12:19:17";SYSTEM
TAS00030;"sw gestionale";;COM2025001;;Sviluppo;2025-08-25;"In corso";;No;;0,00;"2025-08-25 07:40:29";SYSTEM;"2025-08-25 14:04:25";SYSTEM
TAS00031;"sito VP";;COM2025001;;Sviluppo;2025-08-25;"In corso";;No;;0,00;"2025-08-25 14:01:00";SYSTEM;"2025-08-25 14:01:00";
TAS00032;"IWT Coaching";;COM2025004;;Campo;2025-08-26;"In corso";;No;;1600,00;"2025-08-26 17:18:46";SYSTEM;"2025-08-26 17:18:46";
TAS00033;"CORTEOLONA Affiancamento VP";;COM0013;;Formazione;2025-07-01;"In corso";;No;;;"2025-09-02 13:03:03";SYSTEM;"2025-09-02 13:03:03";
